Temperature(°C),Dew point temperature(°C),Wind speed (m/s),Humidity(%),Visibility (10m),Hour,Rented Bike Count
17.8,13.3,1.0,75,1210,5,306
17.5,13.2,1.2,76,1161,6,672
18.1,11.1,0.6,64,923,7,1421
20.6,11.2,0.7,55,1200,8,2149
23.1,12.6,1.7,52,1012,9,1219
25.3,12.5,1.3,45,1371,10,862
26.8,11.2,2.6,38,1879,11,1036
28.2,10.8,2.6,34,1867,12,1076
29.4,11.4,2.2,33,1535,13,1093
29.6,10.6,3.7,31,1988,14,1071
29.9,13.2,3.3,36,1866,15,1235
29.9,12.3,3.2,34,1912,16,1488
29.2,12.1,4.3,35,1967,17,2123
28.5,11.9,3.0,36,1981,18,3088
26.8,10.0,1.9,35,2000,19,2505
25.0,10.0,2.8,39,2000,20,2163
23.5,10.5,1.6,44,2000,21,2066
22.7,9.8,1.5,44,2000,22,1991
21.8,10.6,1.6,49,1965,23,1440
20.9,10.9,1.4,53,1717,0,1165
20.2,11.4,0.4,57,1428,1,989
19.6,11.6,1.9,60,1200,2,677
18.9,11.6,1.5,63,1007,3,475
18.3,11.8,1.3,66,929,4,312
17.8,12.0,1.1,69,951,5,264
17.7,11.7,1.3,68,842,6,342
18.1,9.9,0.6,59,789,7,560
20.4,10.7,1.0,54,828,8,898
23.3,10.0,1.2,43,1257,9,1005
25.5,0.0,1.1,33,1815,10,1044
27.3,10.4,2.3,35,1537,11,1094
28.3,9.0,3.0,30,1675,12,1253
29.6,6.8,2.4,24,1873,13,1334
29.8,6.4,3.6,23,1945,14,1396
29.8,7.0,2.9,24,1939,15,1535
29.6,8.0,3.7,26,2000,16,1707
28.9,5.0,2.7,22,1965,17,2025
27.4,7.7,3.6,29,2000,18,2246
25.4,7.9,2.7,33,2000,19,2337
23.4,8.2,2.3,38,2000,20,2338
22.1,9.2,2.5,44,2000,21,2238
21.4,9.9,1.6,48,2000,22,1969
20.6,10.3,0.5,52,2000,23,1490
19.7,10.3,2.0,55,1986,0,1248
19.2,10.4,0.8,57,1985,1,902
18.6,10.6,1.8,60,1841,2,673
18.0,11.0,1.3,64,1560,3,437
17.4,10.7,0.8,65,1093,4,294
17.1,10.6,0.3,66,1370,5,193
16.9,9.5,0.4,62,1768,6,228
18.0,8.5,0.7,54,1997,7,423
20.3,8.6,1.5,47,1785,8,659
22.7,8.0,0.7,39,1880,9,831
24.8,7.8,1.3,34,1869,10,938
26.7,7.6,1.1,30,1782,11,977
28.7,7.8,1.7,27,1843,12,1134
29.4,6.7,2.7,24,1905,13,1393
29.8,8.2,2.2,26,1818,14,1399
30.7,5.8,2.5,21,1876,15,1556
30.4,9.8,3.6,28,1790,16,1834
29.5,9.5,4.1,29,1944,17,2131
29.3,7.2,2.4,25,1973,18,2349
27.4,7.7,2.4,29,2000,19,2514
25.3,7.4,2.2,32,1997,20,2460
24.2,6.4,2.1,32,2000,21,2173
23.0,7.9,1.2,38,1996,22,1741
22.0,9.1,0.8,44,1978,23,1274
21.4,8.9,1.4,45,1964,0,938
20.7,8.9,0.9,47,1987,1,596
20.1,9.0,0.8,49,1978,2,351
19.6,9.1,1.0,51,1923,3,244
19.4,10.3,1.2,56,1752,4,172
19.2,10.2,0.9,56,1772,5,299
18.9,9.1,0.3,53,1871,6,742
19.5,9.3,0.8,52,1818,7,1505
22.1,9.2,1.4,44,1435,8,2287
23.3,7.7,0.4,37,1336,9,1243
25.1,10.5,2.7,40,1076,10,970
26.1,10.2,2.4,37,1079,11,1008
26.3,10.0,3.1,36,1377,12,1152
27.4,8.2,2.0,30,1768,13,1085
26.5,12.8,3.9,43,1671,14,1148
25.5,11.9,2.9,43,1996,15,1249
25.5,11.9,3.2,43,1892,16,1671
24.9,12.4,2.0,46,1855,17,2190
24.4,12.6,1.9,48,1998,18,3380
23.9,13.1,2.3,51,2000,19,2788
23.4,10.0,1.1,43,2000,20,2508
22.6,14.9,1.1,62,1363,21,2377
22.0,14.8,1.8,64,1211,22,2000
21.4,15.2,2.7,68,972,23,1354
20.5,15.0,2.8,71,1204,0,927
20.0,13.6,0.7,67,1426,1,742
19.7,13.1,0.5,66,1591,2,448
19.1,13.9,0.6,72,1370,3,314
18.5,13.3,0.6,72,1168,4,214
18.1,13.1,0.5,73,1182,5,282
17.8,12.8,0.4,73,1188,6,733
18.8,11.8,0.7,64,1099,7,1602
21.5,12.8,1.1,58,1021,8,2322
23.5,12.7,1.4,51,1169,9,1344
25.5,11.9,1.0,43,1568,10,959
26.8,10.8,1.6,37,1639,11,974
28.2,11.2,1.2,35,1411,12,1111
28.6,11.1,2.0,34,1274,13,1058
28.9,11.4,2.7,34,1328,14,1120
29.0,13.2,3.4,38,749,15,1250
28.8,13.0,3.1,38,1027,16,1434
28.1,12.0,3.6,37,1346,17,2115
27.1,12.3,2.8,40,1811,18,3227
25.5,11.9,3.1,43,1760,19,2615
24.0,11.6,2.8,46,1896,20,2346
23.3,12.5,1.7,51,1654,21,2404
22.4,12.6,2.5,54,1778,22,2237
21.9,12.7,0.7,56,1898,23,1646
21.2,13.1,0.9,60,1789,0,1268
20.6,13.3,0.6,63,1670,1,1031
20.1,13.3,1.0,65,1435,2,792
19.6,13.5,1.7,68,1260,3,562
19.2,13.1,0.8,68,1181,4,332
18.7,13.7,1.4,73,1065,5,218
18.5,13.5,1.1,73,1028,6,351
19.3,12.0,0.7,63,916,7,536
21.2,12.8,1.2,59,794,8,799
22.9,13.6,2.3,56,763,9,925
24.3,14.1,2.9,53,949,10,1087
25.8,15.1,2.1,52,905,11,1152
27.3,16.2,2.8,51,703,12,1400
27.3,16.5,3.1,52,613,13,1444
27.4,16.0,3.5,50,615,14,1603
27.6,15.9,3.7,49,656,15,1674
27.9,15.5,2.8,47,824,16,1940
27.4,15.4,2.7,48,1084,17,2104
26.6,15.9,2.5,52,1368,18,2162
24.9,15.5,3.1,56,1469,19,2163
23.4,16.1,1.8,64,1144,20,2145
22.1,16.8,2.5,72,923,21,1935
20.8,16.8,1.8,78,763,22,1624
20.1,15.9,3.1,77,797,23,1251
19.6,16.4,1.7,82,628,0,978
19.1,16.6,1.8,86,522,1,606
18.8,16.7,0.3,88,500,2,418
18.4,16.3,1.6,88,465,3,275
18.1,16.0,1.8,88,458,4,191
17.8,16.3,2.2,91,393,5,288
18.1,16.0,1.1,88,272,6,716
18.6,16.0,2.0,85,307,7,1551
18.9,15.7,2.3,82,326,8,2317
20.5,15.4,1.6,73,364,9,1342
22.0,16.0,2.0,69,488,10,914
23.4,15.6,1.8,62,603,11,967
25.0,15.6,3.0,56,715,12,1099
26.7,14.4,2.4,47,806,13,1071
28.2,14.7,1.7,44,644,14,1116
29.3,14.6,2.0,41,609,15,1171
29.3,14.6,2.0,41,905,16,1442
28.2,17.0,3.3,51,879,17,2002
25.6,16.4,2.7,57,1217,18,3221
24.0,15.7,2.8,60,1379,19,2649
22.8,16.3,1.6,67,1219,20,2278
21.5,15.5,2.6,69,942,21,2161
20.9,15.4,1.0,71,763,22,1939
20.3,16.1,1.3,77,770,23,1290
19.1,15.9,2.2,82,874,0,926
18.8,16.0,1.7,84,658,1,769
18.6,15.8,2.5,84,619,2,525
18.6,15.6,2.9,83,889,3,365
18.5,15.3,2.0,82,1072,4,255
18.6,15.2,0.8,81,1205,5,299
18.8,14.8,2.0,78,1259,6,744
19.1,14.1,2.0,73,1300,7,1544
19.7,13.8,2.0,69,1448,8,2348
21.2,13.6,1.7,62,1384,9,1283
21.9,14.2,1.7,62,1664,10,1002
21.9,14.7,2.4,64,1359,11,1095
23.1,13.8,1.6,56,1222,12,1256
24.2,15.4,1.9,58,1015,13,1314
25.0,15.0,2.2,54,1146,14,1249
26.2,15.2,3.3,51,1104,15,1416
26.6,15.0,3.2,49,1200,16,1668
26.9,15.2,2.3,49,1210,17,2314
26.2,16.1,2.2,54,1183,18,3309
24.5,16.9,3.1,63,970,19,2797
22.6,17.0,1.8,71,856,20,2476
21.2,16.9,1.7,77,638,21,2337
20.5,16.5,0.9,78,550,22,2140
20.0,16.2,1.4,79,510,23,1672
19.7,16.7,1.5,83,390,0,1247
19.7,16.3,0.6,81,419,1,1029
19.4,16.6,0.7,84,382,2,732
19.1,16.3,0.6,84,421,3,535
19.0,16.0,0.4,83,473,4,352
19.0,16.4,0.4,85,467,5,262
19.0,16.2,0.5,84,440,6,381
20.2,15.1,1.1,73,708,7,616
21.9,14.2,0.9,62,1071,8,963
24.0,14.3,1.8,55,1411,9,1102
25.8,14.2,1.3,49,1442,10,1156
27.2,14.5,1.7,46,1301,11,1200
28.2,14.0,1.4,42,1563,12,1462
28.8,14.6,2.0,42,1438,13,1583
30.1,12.9,1.4,35,1583,14,1744
29.6,14.5,2.5,40,1546,15,1890
28.7,13.7,2.5,40,1474,16,2297
28.2,12.9,2.9,39,1653,17,2355
27.3,13.2,1.2,42,2000,18,1934
25.7,13.5,1.8,47,2000,19,1058
23.7,15.9,1.6,62,1402,20,246
22.4,17.0,1.5,72,1816,21,225
21.0,16.3,1.3,75,2000,22,776
20.7,14.1,1.6,66,2000,23,766
20.2,13.6,1.5,66,2000,0,483
19.7,14.2,1.2,71,1986,1,375
19.2,13.3,1.3,69,2000,2,162
18.6,14.6,0.8,78,1997,3,150
18.3,13.1,1.7,72,2000,4,174
18.4,12.8,1.4,70,2000,5,138
18.3,12.9,0.9,71,2000,6,216
18.4,12.3,0.6,68,2000,7,313
19.0,12.2,2.0,65,2000,8,619
19.2,12.4,1.4,65,2000,9,786
20.2,12.6,1.8,62,2000,10,942
21.3,12.1,1.5,56,1989,11,1074
23.2,12.1,2.2,50,1988,12,1442
24.2,12.4,1.2,48,1968,13,1752
24.1,13.3,1.1,51,2000,14,1985
24.8,13.3,1.2,49,2000,15,2182
24.8,13.9,1.6,51,2000,16,2333
24.6,14.0,1.3,52,2000,17,2431
24.1,13.9,1.3,53,2000,18,2367
23.4,13.8,1.0,55,2000,19,2267
22.8,13.2,1.3,55,2000,20,2300
22.1,12.6,1.5,55,2000,21,2026
21.5,12.0,1.8,55,2000,22,1634
20.9,11.7,1.5,56,2000,23,1191
20.3,11.7,1.4,58,2000,0,918
19.8,11.5,1.3,59,2000,1,555
19.2,11.2,1.5,60,2000,2,353
18.8,11.1,1.3,61,2000,3,232
18.8,10.8,1.0,60,2000,4,194
18.8,11.1,1.2,61,2000,5,324
18.6,10.9,0.8,61,2000,6,807
19.1,10.8,1.1,59,2000,7,1629
20.7,11.3,1.5,55,2000,8,2375
22.2,10.6,1.7,48,1889,9,1307
23.7,11.7,1.3,47,2000,10,992
23.2,12.7,1.4,52,2000,11,1107
23.2,12.7,1.2,52,2000,12,1204
23.7,12.3,1.2,49,2000,13,1033
23.9,11.8,1.0,47,2000,14,1075
22.2,14.0,1.3,60,1907,15,1240
22.0,13.8,1.8,60,2000,16,1220
20.7,15.4,3.4,72,2000,17,1475
19.8,16.2,3.9,80,2000,18,1491
19.4,16.8,1.2,85,1651,19,873
19.1,16.3,1.7,84,2000,20,1280
19.0,15.8,1.0,82,2000,21,1647
19.0,14.6,0.1,76,2000,22,1117
18.2,17.0,0.8,93,460,23,384
18.0,17.0,0.7,94,1906,0,470
17.7,16.3,0.9,92,1958,1,454
17.7,15.5,1.2,87,2000,2,385
17.5,15.3,0.5,87,1995,3,206
17.5,14.7,0.8,84,2000,4,144
17.2,15.0,0.6,87,2000,5,296
16.7,14.1,1.0,85,2000,6,740
17.1,13.0,1.5,77,1748,7,1573
19.0,12.7,1.1,67,1976,8,2495
21.1,13.0,0.9,60,1998,9,1317
22.1,12.0,1.1,53,1999,10,971
22.9,13.0,2.6,54,1959,11,1092
24.0,13.2,1.8,51,2000,12,1202
25.7,13.2,0.8,46,2000,13,1215
25.6,12.7,2.2,45,1961,14,1246
26.2,12.2,2.7,42,1977,15,1427
26.2,13.9,3.8,47,1996,16,1714
26.4,14.1,3.0,47,1976,17,2270
24.9,14.6,3.6,53,2000,18,3404
23.1,14.3,2.4,58,1997,19,2873
21.6,13.9,3.3,62,2000,20,2579
20.6,14.9,1.8,70,1986,21,2505
20.0,14.3,1.0,70,2000,22,2309
19.5,14.3,0.6,72,1989,23,1657
19.3,14.9,1.2,76,1968,0,1274
18.9,14.7,0.7,77,1987,1,1088
18.4,13.8,0.6,75,1986,2,847
18.5,13.5,1.0,73,1951,3,591
18.7,13.9,0.9,74,1933,4,421
18.6,14.2,0.4,76,1957,5,290
18.7,14.1,0.9,75,1923,6,416
19.4,13.5,0.3,69,1277,7,657
20.7,13.8,1.5,65,1004,8,959
22.6,14.1,1.6,59,1030,9,1111
23.0,14.0,2.2,57,1145,10,1269
24.5,13.6,1.5,51,1333,11,1478
24.5,15.1,2.3,56,1094,12,1747
24.9,14.3,1.8,52,1554,13,1834
26.6,15.3,2.4,50,1119,14,2088
25.5,14.3,2.2,50,1025,15,2288
25.8,14.5,1.7,50,1152,16,2474
25.6,16.4,3.3,57,919,17,2664
23.4,15.9,3.6,63,1245,18,2479
22.8,15.6,2.3,64,1444,19,2404
22.1,15.2,1.3,65,1611,20,2276
21.8,15.3,0.0,67,1485,21,2166
21.6,14.9,1.2,66,1438,22,1934
21.5,13.9,0.1,62,1827,23,1394
21.1,15.1,0.5,69,1086,0,1047
20.8,15.5,1.0,72,912,1,715
20.8,15.7,0.8,73,829,2,453
20.8,15.7,0.7,73,756,3,289
21.0,15.7,0.8,72,677,4,193
20.3,17.5,3.2,84,518,5,154
19.5,18.6,1.4,95,179,6,100
19.4,18.9,0.9,97,272,7,94
18.9,18.4,1.2,97,492,8,187
19.1,18.4,0.6,96,273,9,175
19.7,18.7,1.1,94,497,10,532
20.5,16.7,1.7,79,770,11,735
21.2,16.5,0.7,75,876,12,945
22.8,16.3,1.2,67,930,13,1056
23.8,16.0,1.2,62,1282,14,1153
24.6,15.5,1.8,57,1664,15,1292
25.0,15.6,0.7,56,1723,16,1550
24.6,15.5,1.0,57,1866,17,1934
24.0,16.0,1.5,61,1935,18,2962
23.6,16.1,0.6,63,1956,19,1856
22.6,17.7,1.2,74,1594,20,1557
22.2,16.9,1.0,72,1786,21,1807
21.8,16.5,1.0,72,1952,22,1737
21.6,15.4,0.8,68,2000,23,1295
21.0,15.3,0.9,70,2000,0,986
20.6,13.7,1.2,65,2000,1,717
20.1,13.7,1.1,67,2000,2,403
18.8,17.6,1.0,93,419,3,154
18.0,16.8,1.6,93,627,4,72
17.4,15.0,1.1,86,1820,5,161
17.2,14.2,1.3,83,2000,6,609
18.2,13.6,1.4,75,2000,7,1467
18.7,13.3,1.1,71,1992,8,2328
20.1,13.3,1.4,65,2000,9,1170
22.0,12.8,1.5,56,1989,10,1004
22.9,13.9,1.4,57,1918,11,1118
24.4,13.2,1.6,50,2000,12,1193
25.3,13.4,1.8,48,1935,13,1035
26.4,12.8,2.1,43,1944,14,1027
26.7,11.9,1.6,40,1995,15,1461
26.5,13.5,1.6,45,2000,16,1726
26.1,13.2,1.4,45,2000,17,2460
25.9,12.7,1.5,44,2000,18,2891
24.3,12.5,1.5,48,2000,19,2984
22.6,11.9,1.3,51,2000,20,2441
21.4,11.6,1.5,54,2000,21,2337
20.4,10.7,1.4,54,2000,22,2155
19.6,10.3,1.4,55,2000,23,1593
19.0,10.2,1.6,57,2000,0,1217
18.4,10.2,1.3,59,2000,1,1056
17.9,10.0,0.8,60,2000,2,764
17.4,9.7,1.2,61,2000,3,518
16.9,9.8,1.0,63,2000,4,317
16.6,9.9,1.2,65,2000,5,277
16.3,9.9,0.7,66,2000,6,381
17.0,9.1,1.1,60,1993,7,583
18.7,9.9,1.0,57,1956,8,892
20.4,10.7,1.5,54,2000,9,1144
21.8,9.6,0.9,46,1927,10,1166
23.4,11.1,1.6,46,1954,11,1330
24.8,11.3,1.2,43,1943,12,1525
26.2,10.3,1.2,37,1936,13,1704
27.1,12.3,1.8,40,1779,14,1783
27.8,13.3,1.6,41,1851,15,1861
28.3,13.7,2.6,41,1852,16,1991
28.4,14.6,2.0,43,1806,17,2383
28.0,15.2,2.3,46,1833,18,2451
27.2,15.2,1.4,48,1994,19,2475
25.0,16.6,2.4,60,1773,20,2497
23.7,16.4,1.7,64,1707,21,2435
22.8,16.8,1.7,69,1656,22,1995
22.1,17.0,1.6,73,1180,23,1615
21.5,17.0,1.4,76,1015,0,1394
20.9,17.1,2.0,79,932,1,929
20.5,16.1,1.1,76,994,2,755
19.9,16.3,1.6,80,741,3,491
19.4,16.2,0.9,82,531,4,304
19.0,16.4,0.8,85,567,5,238
18.9,15.9,0.3,83,576,6,324
19.6,15.0,0.9,75,884,7,475
21.1,15.4,0.3,70,766,8,715
22.5,15.8,1.2,66,605,9,944
23.0,16.2,1.1,66,516,10,953
23.6,16.1,0.7,63,523,11,1146
24.8,15.4,0.9,56,530,12,1422
25.7,15.0,1.1,52,639,13,1563
26.8,13.5,1.6,44,760,14,1709
27.3,16.2,2.6,51,598,15,1979
26.6,15.6,2.2,51,809,16,2235
25.6,16.7,3.3,58,865,17,2330
25.0,16.4,3.4,59,1324,18,2474
24.2,16.4,1.9,62,1225,19,2481
23.1,16.6,2.1,67,1060,20,2429
22.7,16.0,0.9,66,1069,21,2055
22.2,16.4,0.5,70,1056,22,1819
21.7,16.8,1.4,74,920,23,1323
21.3,16.4,1.4,74,963,0,917
21.0,16.1,0.5,74,990,1,547
20.7,16.3,0.3,76,920,2,436
20.5,16.3,0.5,77,865,3,202
20.2,16.2,0.7,78,884,4,164
20.0,16.4,0.3,80,824,5,383
20.0,16.0,0.4,78,752,6,779
20.6,16.2,0.5,76,786,7,1590
22.7,15.7,0.7,65,759,8,2357
24.7,16.1,1.1,59,616,9,1263
26.1,15.7,0.9,53,554,10,822
27.3,14.3,2.4,45,846,11,915
28.4,15.3,2.2,45,649,12,988
29.4,15.1,1.7,42,689,13,938
29.8,13.1,2.0,36,1382,14,997
30.5,12.8,2.8,34,1590,15,1177
30.5,12.8,2.9,34,1830,16,1401
29.5,12.8,3.7,36,1786,17,2040
29.2,12.1,2.7,35,1900,18,746
28.1,12.4,2.6,38,2000,19,1557
25.7,12.1,2.1,43,2000,20,2515
23.8,12.1,2.0,48,2000,21,1702
22.9,13.6,1.3,56,1927,22,1373
22.3,13.8,1.1,59,1892,23,1732
21.5,14.1,1.0,63,1740,0,1055
20.9,14.3,0.8,66,1528,1,766
20.2,14.7,1.2,71,1414,2,527
19.9,14.0,1.4,69,1179,3,369
19.7,14.7,1.6,73,848,4,268
19.4,15.2,0.8,77,831,5,317
19.1,14.5,0.4,75,1039,6,746
19.9,14.6,0.6,72,840,7,1616
21.1,14.4,1.0,66,797,8,2430
22.4,14.7,0.9,62,761,9,1381
23.7,14.3,1.6,56,1074,10,937
24.6,14.3,1.4,53,1472,11,1014
25.8,13.9,1.5,48,1487,12,1224
26.6,14.0,2.9,46,1482,13,1230
27.2,13.8,2.9,44,1377,14,1258
26.7,12.7,2.6,42,1634,15,1363
26.1,13.5,3.0,46,1728,16,1700
25.1,14.2,2.4,51,1714,17,2328
24.1,15.0,2.9,57,1301,18,3556
23.3,14.8,2.6,59,1214,19,2809
22.4,14.7,2.2,62,1041,20,2525
21.6,14.9,2.4,66,962,21,2378
20.8,15.3,2.1,71,800,22,2096
20.1,15.1,1.9,73,771,23,1456
19.7,14.2,2.0,71,1330,0,1030
19.6,14.6,1.4,73,958,1,803
19.6,15.6,0.8,78,662,2,576
19.4,15.6,0.8,79,563,3,340
19.1,15.9,1.5,82,471,4,249
19.1,16.1,2.0,83,457,5,336
19.4,16.4,1.6,83,448,6,714
20.0,15.8,1.7,77,595,7,1629
20.6,16.4,1.2,77,566,8,2440
21.1,16.0,2.0,73,623,9,1401
22.2,16.4,3.1,70,740,10,1002
23.7,14.3,2.4,56,1070,11,1100
25.2,14.9,3.3,53,976,12,1252
26.2,15.2,3.2,51,1078,13,1184
27.5,15.1,2.7,47,990,14,1158
27.9,14.8,3.6,45,1558,15,1266
28.2,16.1,3.9,48,1103,16,1600
28.0,16.6,3.2,50,1137,17,2289
27.0,17.1,3.1,55,1246,18,3384
25.6,17.5,2.7,61,1236,19,2741
23.3,17.0,3.6,68,895,20,2519
21.6,16.7,3.3,74,758,21,2246
20.6,16.6,3.0,78,684,22,1979
20.1,16.9,3.6,82,494,23,1401
20.0,17.0,2.6,83,547,0,1083
20.1,16.9,1.2,82,582,1,794
20.2,17.0,0.9,82,575,2,539
20.0,17.0,1.7,83,607,3,394
19.6,17.3,1.2,87,465,4,215
19.4,16.2,2.1,82,677,5,308
19.5,15.9,1.6,80,709,6,709
19.9,15.1,1.7,74,683,7,1543
21.4,14.5,1.9,65,821,8,2370
22.7,14.2,2.0,59,940,9,1360
23.9,14.8,2.1,57,977,10,922
25.5,16.3,1.8,57,943,11,1066
26.4,13.8,1.4,46,1103,12,1197
27.3,9.6,3.4,33,1921,13,1147
28.0,12.7,2.6,39,1833,14,1152
28.3,13.4,3.2,40,1619,15,1276
28.5,14.3,3.1,42,1622,16,1473
28.4,14.6,3.3,43,1715,17,2176
27.8,14.0,3.0,43,1933,18,3418
26.9,12.8,2.4,42,2000,19,2811
25.1,15.4,2.3,55,1779,20,2556
23.8,16.3,1.5,63,1455,21,2436
22.8,16.3,2.1,67,1042,22,2179
21.9,13.5,2.6,59,1188,23,1497
20.7,14.3,1.9,67,885,0,1137
20.2,15.6,1.4,75,525,1,912
19.8,16.2,1.5,80,370,2,602
19.3,16.7,1.6,85,345,3,413
19.1,16.6,1.4,86,322,4,268
18.6,16.0,1.0,85,384,5,336
18.2,15.2,0.6,83,448,6,710
18.8,12.3,1.1,66,814,7,1529
21.9,13.2,1.2,58,771,8,2283
24.2,12.1,1.2,47,822,9,1284
26.3,9.1,0.9,34,1792,10,902
28.1,11.1,1.3,35,1608,11,1020
29.8,9.3,1.3,28,1777,12,1116
30.6,8.9,1.2,26,1792,13,1073
31.6,9.1,2.3,25,1780,14,1087
31.9,8.1,1.8,23,1977,15,1203
30.8,11.7,3.8,31,1246,16,1466
30.4,9.8,2.9,28,1834,17,2146
29.3,8.3,3.4,27,1977,18,3365
27.1,8.9,3.5,32,2000,19,2732
25.4,7.0,2.5,31,2000,20,2493
24.2,6.4,1.5,32,2000,21,2251
23.3,5.6,1.1,32,2000,22,2103
22.9,6.1,1.1,34,1810,23,1648
22.7,6.8,1.5,36,2000,0,1322
22.5,7.8,1.1,39,2000,1,1073
22.3,6.8,1.8,37,2000,2,818
22.0,8.4,0.2,42,1891,3,540
21.6,9.7,0.4,47,1985,4,375
21.1,9.6,0.3,48,2000,5,339
21.0,9.5,0.6,48,2000,6,417
21.3,8.5,0.5,44,1911,7,622
22.6,9.0,0.7,42,1887,8,934
24.3,8.6,1.1,37,1939,9,1072
25.8,9.1,1.5,35,1900,10,1064
27.5,8.8,1.9,31,1841,11,1229
28.4,9.6,2.7,31,1849,12,1374
27.9,13.4,3.9,41,1649,13,1483
28.0,15.2,3.6,46,1401,14,1445
28.4,14.6,3.1,43,1337,15,1589
28.3,16.2,3.1,48,1232,16,1837
28.1,16.3,3.2,49,1117,17,2101
26.3,16.5,3.2,55,1119,18,2256
25.7,17.0,2.8,59,1083,19,2288
24.6,17.5,2.1,65,1018,20,2262
23.8,17.5,2.2,68,694,21,2175
23.0,18.1,2.4,74,473,22,1932
22.5,18.2,2.7,77,396,23,1402
22.0,18.5,1.6,81,374,0,849
21.5,18.4,1.3,83,345,1,545
20.9,18.6,1.8,87,222,2,1254
20.6,19.0,0.8,91,194,3,644
20.5,18.7,0.8,90,223,4,286
20.3,18.0,1.0,87,251,5,235
20.2,17.9,2.0,87,255,6,258
20.5,17.3,0.8,82,338,7,369
21.3,17.3,0.7,78,351,8,561
23.1,16.8,1.9,68,482,9,734
25.0,16.6,1.5,60,570,10,763
27.1,16.3,2.1,52,557,11,870
28.9,13.9,2.3,40,809,12,1042
30.6,11.5,2.7,31,1240,13,1062
31.6,13.8,2.9,34,1050,14,1064
31.8,12.5,3.4,31,1400,15,1213
31.3,12.6,3.2,32,1427,16,1471
30.9,13.2,2.5,34,1640,17,1754
29.8,12.6,3.3,35,1805,18,2094
27.8,13.3,2.7,41,1990,19,2290
26.1,14.5,1.9,49,1960,20,2387
24.5,18.8,1.7,71,1295,21,2153
23.9,18.5,0.8,72,1098,22,1801
23.3,18.6,2.0,75,890,23,1329
22.9,19.0,0.6,79,715,0,962
22.5,18.8,1.1,80,619,1,585
22.3,18.6,0.8,80,709,2,424
22.0,18.9,0.5,83,684,3,264
21.8,18.5,0.7,82,702,4,199
21.5,18.6,0.3,84,569,5,338
21.3,17.8,0.7,81,604,6,785
22.1,17.2,0.3,74,830,7,1620
23.8,17.0,0.9,66,960,8,2331
25.4,17.3,1.0,61,1079,9,1293
26.4,16.6,0.9,55,901,10,878
27.8,15.1,1.3,46,912,11,968
29.8,15.5,2.1,42,1220,12,1039
31.2,14.3,2.0,36,1022,13,1073
32.3,14.8,1.8,35,982,14,1016
32.7,13.3,1.7,31,1243,15,1184
32.2,16.4,2.8,39,928,16,1407
31.5,17.0,2.3,42,990,17,2008
30.7,16.6,1.6,43,931,18,3238
29.8,16.5,1.5,45,956,19,2779
28.8,18.5,1.1,54,964,20,2456
27.9,18.0,0.5,55,1083,21,2372
27.4,17.5,0.3,55,1001,22,2046
27.2,17.3,0.7,55,920,23,1437
26.9,18.7,1.5,61,805,0,1052
26.7,15.4,1.8,50,884,1,783
26.1,15.1,1.7,51,760,2,524
25.4,14.2,1.1,50,870,3,353
24.7,13.2,1.0,49,1293,4,143
23.7,16.4,0.9,64,876,5,45
22.5,19.4,0.8,83,537,6,37
21.2,18.9,0.8,87,376,7,49
20.8,19.7,1.0,94,159,8,53
20.3,19.6,1.1,96,143,9,19
20.3,19.8,1.0,97,103,10,9
20.4,19.9,1.4,97,129,11,11
20.5,20.0,1.8,97,257,12,10
20.5,20.0,1.2,97,338,13,24
21.0,20.4,0.7,97,381,14,26
21.5,20.9,0.6,97,311,15,65
23.3,22.6,3.4,96,441,16,56
24.0,23.1,5.0,95,362,17,113
24.1,23.2,4.4,95,261,18,156
24.2,23.1,4.7,94,242,19,203
24.1,23.0,4.5,94,214,20,199
23.5,22.4,4.6,94,227,21,275
22.4,21.5,4.1,95,222,22,443
21.6,19.7,4.3,89,698,23,552
20.5,19.4,3.7,94,896,0,513
20.0,19.3,3.0,96,182,1,254
19.6,19.1,2.6,97,201,2,164
19.4,18.9,2.9,97,282,3,152
19.2,18.7,1.0,97,217,4,110
19.1,18.6,1.2,97,402,5,162
19.2,18.7,1.5,97,157,6,417
19.3,18.9,1.0,98,188,7,1084
19.7,19.2,1.5,97,200,8,1995
20.0,19.3,1.6,96,287,9,1238
21.4,18.7,1.1,85,596,10,862
23.4,18.2,1.3,73,827,11,1015
24.1,18.9,2.2,73,992,12,1145
24.9,18.8,2.2,69,850,13,1234
24.7,19.3,2.9,72,720,14,1243
25.5,19.1,2.4,68,638,15,1362
25.0,20.0,2.2,74,578,16,1618
25.1,19.2,2.2,70,796,17,2115
25.0,18.9,1.5,69,1125,18,3172
24.9,19.0,1.8,70,1131,19,2487
24.2,18.8,1.4,72,833,20,2274
23.3,17.7,1.3,71,1145,21,2200
22.7,18.4,2.0,77,1099,22,1959
22.3,19.2,2.6,83,490,23,980
22.2,19.3,1.1,84,482,0,561
22.2,19.3,0.3,84,610,1,1068
22.4,19.5,0.6,84,667,2,652
22.4,19.9,0.6,86,618,3,344
22.3,20.2,0.9,88,298,4,233
22.1,20.9,0.4,93,333,5,266
22.0,20.2,0.4,90,373,6,594
22.7,19.2,0.4,81,866,7,1391
24.2,19.0,1.0,73,1581,8,2288
24.8,20.0,1.1,75,1418,9,1246
25.3,19.4,0.6,70,1386,10,826
26.5,19.1,1.8,64,1806,11,938
27.0,20.5,2.0,68,1863,12,1158
